Alkon hinnasto 13.11.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huom.! Hinnastojärjestyskoodilla saat tuoteryhmät takaisin hinnaston järjestykseen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
466657;Domaine Bousquet Virgen Organic Malbec 2022;Domaine Bousquet;0.75 l;15.99;21.19;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2022;Tupungato Valley;Vegaaneille soveltuva tuote. Ei lisättyä sulfiittia;Malbec, ;Sinipunainen, täyteläinen, tanniininen, tumman kirsikkainen, herukkainen, kevyen karpaloinen, mausteinen;pullo;metallinen kierrekapseli;14.0;5.3;0;;;;80.0;vakiovalikoima;7798101653722
955287;Elsa Bianchi Malbec 2018;Valentin Bianchi;0.75 l;12.51;16.55;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;;Malbec, ;Runsaanpunainen, keskitäyteläinen, keskitanniininen, marjainen, mausteinen, aromikas;pullo;metallinen kierrekapseli;13.5;5.4;3;;;;80.0;tilausvalikoima;7790703165443
456707;Famiglia Bianchi Malbec 2023;Valentin Bianchi;0.75 l;15.82;20.96;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2023;San Rafael;;Malbec, ;Tummanpunainen, täyteläinen, keskitanniininen, karhunvatukkainen, karpaloinen, herukkainen, kirsikkainen, luumuinen, kevyen kahvinen;pullo;luonnonkorkki;14.0;5.1;0;;;;80.0;vakiovalikoima;7790703167645
453037;Finca Monteflores Cabernet Franc 2022;La Casa Del Ray;0.75 l;12.99;17.19;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2022;Mendoza;Saattaa sisältää sakkaa;Cabernet Franc, ;Tummanpunainen, täyteläinen, tanniininen, herukkainen, boysenmarjainen, tumman kirsikkainen, hennon metsämansikkainen, mausteinen;pullo;muu suljenta;14.0;4.9;2;;;;80.0;vakiovalikoima;7798057484081
902403;Flechas de Los Andes Aguaribay 2023;Flechas de Los Andes;0.75 l;23.50;31.33;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2023;;Saattaa sisältää sakkaa;Malbec, ;Tummanpunainen, täyteläinen, tanniininen, mausteinen, karhunvatukkahilloinen;lasipullo;luonnonkorkki;14.0;5.4;6;;;;80.0;tilausvalikoima;7798128520106
930156;Flechas de Los Andes Gran Corte 2019;Flechas de Los Andes;0.75 l;45.93;61.24;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2019;;Saattaa sisältää sakkaa;Cabernet Franc, Malbec, Nascetta, Shiraz, ;Tummanpunainen, täyteläinen, tanniininen, mausteinen;pullo;luonnonkorkki;14.5;5.3;0;;;;80.0;tilausvalikoima;7798128520045
458667;Fuzion The Coffee Shop Red Blend 2022;La Agricola;0.75 l;12.78;16.91;;110;punaviinit;Mehevä & Hilloinen;Vegaaneille soveltuva tuote;;Argentiina;Mendoza;2022;Mendoza;Saattaa sisältää sakkaa. Vegaaneille soveltuva tuote;Bonarda, Malbec, ;Tummanpunainen, täyteläinen, keskitanniininen, karhunvatukkainen, mustikkainen, tumman kirsikkainen, hennon maustepippurinen;pullo;metallinen kierrekapseli;14.5;5.1;6;;;;80.0;vakiovalikoima;7791728010299
950851;Graffigna Reserve Malbec 2022;VSPT Argentina Wine Group;0.75 l;13.71;18.15;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2022;;;Malbec, ;Rubiininpunainen, täyteläinen, keskitanniininen, luumuinen, mausteinen, tumman kirsikkainen;pullo;synteettinen korkki;14.0;5.4;3;;;;80.0;tilausvalikoima;7790168000570
468957;Juli Cabernet Sauvignon Organic 2024;Bodega Santa Julia;0.75 l;14.48;19.17;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2024;Mendoza;Vegaaneille soveltuva tuote;Cabernet Sauvignon, ;Tummanpunainen, täyteläinen, keskitanniininen, boysenmarjainen, kirsikkainen, mustaherukkainen, mausteinen;pullo;metallinen kierrekapseli;13.5;5.6;0;;;;80.0;vakiovalikoima;7791728243567
927447;Kaiken Cabernet Sauvignon 2021;Kaiken;0.75 l;13.49;17.85;;110;punaviinit;Mehevä & Hilloinen;Vegaaneille soveltuva tuote;;Argentiina;Mendoza;2021;Mendoza;Saattaa sisältää sakkaa. Vegaaneille soveltuva tuote;Cabernet Sauvignon, ;Tummanpunainen, täyteläinen, tanniininen, mausteinen, yrttinen, tamminen;pullo;metallinen kierrekapseli;14.0;5.0;3;;;;80.0;tilausvalikoima;7804303555006
480007;Kaiken Estate Malbec 2023;Kaiken;0.75 l;12.99;17.19;;110;punaviinit;Mehevä & Hilloinen;Vegaaneille soveltuva tuote;;Argentiina;Mendoza;2023;Mendoza;Vegaaneille soveltuva tuote;Malbec, ;Runsaanpunainen, täyteläinen, keskitanniininen, tumman kirsikkainen, karhunvatukkainen, mustaherukkainen, hennon minttuinen, kevyen tamminen;pullo;metallinen kierrekapseli;14.0;5.2;0;;;;80.0;vakiovalikoima;7804303555013
935847;Kaiken Ultra Malbec 2022;Kaiken;0.75 l;20.99;27.85;;110;punaviinit;Roteva & Voimakas;Vegaaneille soveltuva tuote;;Argentiina;Mendoza;2022;Mendoza;Saattaa sisältää sakkaa. Vegaaneille soveltuva tuote;Malbec, ;Runsaanpunainen, täyteläinen, tanniininen, mustaherukkainen, kirsikkahilloinen, mustikkainen, karpaloinen, tamminen;pullo;luonnonkorkki;14.5;5.4;0;;;;80.0;vakiovalikoima;7804303555037
495047;La Mascota Dark Bat Syrah 2020;La Mascota;0.75 l;9.79;12.92;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2020;Mendoza;;Syrah, ;Tummanpunainen, täyteläinen, keskitanniininen, herukkainen, boysenmarjainen, tumman luumuinen, kevyen kaakaoinen, mausteinen;pullo;metallinen kierrekapseli;13.5;5.1;2;;;;80.0;vakiovalikoima;7790762054092
411697;Lamadrid Single Vineyard Malbec 2022;Lamadrid;0.75 l;20.15;26.73;;110;punaviinit;Roteva & Voimakas;Vegaaneille soveltuva tuote;;Argentiina;Mendoza;2022;Agrelo;Vegaaneille soveltuva tuote;Malbec, ;Tummanpunainen, täyteläinen, tanniininen, tumman kirsikkainen, herukkainen, boysenmarjainen, mausteinen, kevyen tamminen;pullo;luonnonkorkki;14.0;4.7;0;;;;80.0;vakiovalikoima;7798136150449
901666;Los Tucos Malbec 2023;Tittarelli V.O.S.A;0.75 l;12.98;17.31;uutuus;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2023;;Saattaa sisältää sakkaa;Malbec, ;Runsaanpunainen, täyteläinen, keskitanniininen, tumman kirsikkainen, luumuinen, kevyen mausteinen;pullo;metallinen kierrekapseli;13.0;5.3;4;;;;80.0;tilausvalikoima;5701706064536
430377;Luigi Bosca Cabernet Sauvignon 2023;Luigi Bosca;0.75 l;19.99;26.52;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2023;Mendoza;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Tiilenpunainen, täyteläinen, tanniininen, kypsän karpaloinen, hapankirsikkainen, kevyen viikunainen, hennon tallinen, tamminen;pullo;luonnonkorkki;14.0;5.3;0;;;;80.0;vakiovalikoima;7791203001248
